ID,product,price,stock,price01,price02,price03,price04
1001,Wireless Mouse,25.99,150,24.50,23.00,22.00,21.00
1002,Mechanical Keyboard,89.99,80,85.00,82.00,80.00,78.00
1003,HD Monitor,199.99,60,190.00,185.00,180.00,175.00
1004,USB-C Hub,45.50,200,43.00,41.00,39.00,37.00
1005,External SSD 1TB,149.99,75,140.00,135.00,130.00,125.00
1006,Webcam 1080p,59.99,120,55.00,53.00,50.00,48.00
1007,Noise-Cancelling Headphones,129.99,90,120.00,115.00,110.00,105.00
1008,Laptop Stand,34.99,180,33.00,31.50,30.00,28.50
1009,Smartphone Charger,19.99,250,18.00,17.00,16.00,15.00
1010,Bluetooth Speaker,79.99,100,75.00,72.00,70.00,68.00
1011,Graphics Tablet,249.99,50,240.00,230.00,220.00,210.00
1012,Portable Projector,299.99,40,290.00,280.00,270.00,260.00
1013,LED Desk Lamp,39.99,160,38.00,36.00,34.00,32.00
1014,Smartwatch,199.99,70,190.00,185.00,180.00,175.00
1015,Wireless Earbuds,59.99,140,55.00,53.00,50.00,48.00
1016,Gaming Chair,299.99,30,290.00,280.00,270.00,260.00
1017,Action Camera,149.99,65,140.00,135.00,130.00,125.00
1018,Portable Charger 20000mAh,39.99,220,38.00,36.00,34.00,32.00
1019,Smart LED Bulb,14.99,300,13.50,13.00,12.50,12.00
1020,Wireless Router,89.99,85,85.00,82.00,80.00,78.00
